title,source,category,sentiment_score,date
"Loạt ảnh vệ tinh hé lộ thiệt hại Iran, Mỹ hứng chịu trong xung đột",VnExpress,News,0.0,
Tương lai chiến sự Mỹ - Iran sau vụ trực thăng Apache bị bắn rơi,VnExpress,News,0.0,
'Mỹ ủng hộ Việt Nam đảm nhận vai trò lớn hơn trên quốc tế',VnExpress,News,0.0,
Iran tuyên bố tấn công căn cứ F-35 Mỹ ở Jordan,VnExpress,News,0.0,
Những chiếc ghế mọc từ cây giá 87.000 USD,VnExpress,News,0.0,
Bill Gates bị triệu tập điều trần về quan hệ với Epstein,VnExpress,News,0.0,
Lãnh đạo Trung - Triều muốn gì ở nhau từ cuộc gặp thượng đỉnh?,VnExpress,News,0.0,
Quốc hội Mỹ duyệt chi 70 tỷ USD để siết nhập cư,VnExpress,News,0.0,
"Nổ bom xe gần Moskva, nghi nhắm vào tướng Nga",VnExpress,News,0.0,
Phó tổng thống Mỹ nuôi gà trong dinh thự,VnExpress,News,0.0,
Ông Tập đạt được 'đồng thuận quan trọng' với ông Kim Jong-un,VnExpress,News,0.0,
Mỹ tập kích Iran trả đũa vụ bắn rơi trực thăng,VnExpress,News,0.0,
15 giờ Thủ tướng Israel 'đi trên lằn ranh' với ông Trump,VnExpress,News,0.0,
"Ông Trump: Iran bắn rơi trực thăng Apache, Mỹ phải đáp trả",VnExpress,News,0.0,
"Tổng Bí thư, Chủ tịch nước: Đổi mới và thích ứng là yêu cầu sát sườn với ASEAN",VnExpress,News,0.0,
"Tổng Bí thư, Chủ tịch nước Tô Lâm tiếp lãnh đạo Lào, Campuchia, Thái Lan",VnExpress,News,0.0,
Mỹ dùng xuồng không người lái giải cứu phi công trực thăng rơi gần Hormuz,VnExpress,News,0.0,
Cuộc gọi phút chót ngăn phi đội tiêm kích Israel tấn công Iran,VnExpress,News,0.0,
Quan chức quốc tế nêu biện pháp giúp ASEAN phòng ngừa xung đột,VnExpress,News,0.0,
Thủ tướng Lê Minh Hưng chủ trì lễ đón Thủ tướng Timor-Leste,VnExpress,News,0.0,
"Lãnh đạo Campuchia, Lào, Thái Lan đề xuất hướng đi cho ASEAN",VnExpress,News,0.0,
"Iran tố Mỹ ném bom, phá hủy bể chứa nước dân sự",VnExpress,News,0.0,
Áp lực khiến giá thực phẩm ở Mỹ liên tục tăng,VnExpress,News,0.0,
Vẻ đẹp của khu đất mà con rể ông Trump muốn xây resort ở Albania,VnExpress,News,0.0,
Campuchia truy tố 4 nghi phạm tra tấn trùm bất động sản Trung Quốc đến chết,VnExpress,News,0.0,
Bên trong phòng giam cựu tổng thống Hàn Quốc,VnExpress,News,0.0,
Bên trong nhà máy trực thăng hàng đầu thế giới tại Kazan,VnExpress,News,0.0,
Nhân chứng kể khoảnh khắc phá cửa máy bay cứu người trên cao tốc Mỹ,VnExpress,News,0.0,
Những điểm mấu chốt trong thỏa thuận hòa bình Mỹ - Iran,VnExpress,News,0.0,
Cơn sốt hàng bãi Nhật ở châu Á,VnExpress,News,0.0,
Cổ động viên phản đối luật nghỉ tiếp nước tại World Cup,VnExpress,News,0.0,
Khoảnh khắc Tổng thống Trump ký thỏa thuận với Iran,VnExpress,News,0.0,
Iran tuyên bố sẽ thu phí qua eo biển Hormuz,VnExpress,News,0.0,
'Lời nguyền World Cup' châm ngòi cuộc đấu chính trị ở Italy,VnExpress,News,0.0,
Tổng thống Mỹ - Iran ký thỏa thuận hòa bình,VnExpress,News,0.0,
Phép thử 60 ngày với quyết tâm hòa bình Mỹ - Iran,VnExpress,News,0.0,
Quá trình Mỹ vượt ngờ vực để đạt thỏa thuận với Iran,VnExpress,News,0.0,
Iran sẽ rước linh cữu cố lãnh tụ Ali Khamenei qua Iraq,VnExpress,News,0.0,
Thủ tướng đề nghị doanh nhân Việt tại Nga phát huy vai trò cầu nối kinh tế,VnExpress,News,0.0,
Ông Trump dọa tiếp tục ném bom nếu Iran không 'biết điều',VnExpress,News,0.0,
Giá nhà tăng mạnh tại 'thủ phủ hàng giá rẻ' của Mỹ,VnExpress,News,0.0,
Những gia đình Mỹ 'thắt lưng buộc bụng' vì thu không đủ chi,VnExpress,News,0.0,
"Thủ tướng tham quan trực thăng, xe tải tại triển lãm ở Tatarstan",VnExpress,News,0.0,
Hoài nghi về ý tưởng 'dùng người Syria đánh Hezbollah' của ông Trump,VnExpress,News,0.0,
Ông Trump nói đùa 'tôi là sếp' khi đến muộn cuộc họp của G7,VnExpress,News,0.0,
Báo Đức xác minh ảnh cổ động viên giống Hitler tại World Cup,VnExpress,News,0.0,
Truyền thông Mỹ tiết lộ 14 điểm trong thỏa thuận với Iran,VnExpress,News,0.0,
Mỹ dùng AI của Elon Musk trong chiến dịch tấn công Iran,VnExpress,News,0.0,
Trực thăng lai không người lái Trung Quốc bắt đầu bay thử,VnExpress,News,0.0,
Người Nhật nổi giận vì ông Trump mượn 'báu vật anime' làm chính trị,VnExpress,News,0.0,
CĐV Scotland 'càn quét' quán bar ở Boston,VnExpress,News,0.0,
"Cảnh sát Mỹ bắn vào xe, bé một tuổi thiệt mạng",VnExpress,News,0.0,
"Cường kích Su-24 Ukraine rơi, hai phi công thiệt mạng",VnExpress,News,0.0,
Tàu dầu Iran rời khu vực bị Mỹ phong tỏa,VnExpress,News,0.0,
Cú trượt dài vào vòng lao lý của con riêng Thái tử phi Na Uy,VnExpress,News,0.0,
Thế lưỡng nan với ông Netanyahu khi Mỹ - Iran đạt thỏa thuận,VnExpress,News,0.0,
Quan chức Nga đề nghị Việt Nam xem xét mở Tổng lãnh sự quán tại Kazan,VnExpress,News,0.0,
Cách người dân thành phố Mỹ chào đón tuyển Algeria 'như đội nhà',VnExpress,News,0.0,
Tình báo Mỹ lo ngại Iran 'có thể đóng Hormuz bất cứ lúc nào',VnExpress,News,0.0,
Hộ vệ hạm Nga bắn cảnh cáo du thuyền Anh,VnExpress,News,0.0,
Ông Vance nêu điều kiện để Iran nhận quỹ tái thiết 300 tỷ USD,VnExpress,News,0.0,
Mỹ công bố lý do máy bay đánh rơi cần tiếp dầu khi hỗ trợ F-22,VnExpress,News,0.0,
Cuộc 'giải cứu' châm ngòi tranh cãi về việc đi lại của CĐV World Cup,VnExpress,News,0.13636363636363635,
Nghị sĩ Mỹ kêu gọi cấp visa cho mẹ thủ môn Cape Verde đến World Cup,VnExpress,News,0.0,
Mỹ chặn âm mưu tấn công sự kiện võ thuật ở Nhà Trắng,VnExpress,News,0.0,
Nỗi sợ hóa đơn tiền điện mùa hè ở Mỹ,VnExpress,News,0.0,
Hàn Quốc đề nghị ông Trump dẫn dắt hòa giải với Triều Tiên,VnExpress,News,0.0,
Áp lực kinh tế đeo bám ông Trump sau thỏa thuận với Iran,VnExpress,News,0.0,
Iran dọa 'phản ứng gay gắt' nếu Israel tiếp tục tấn công Lebanon,VnExpress,News,0.0,
Cuộc đua để ông Trump chốt thỏa thuận Mỹ - Iran,VnExpress,News,0.0,
